Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,AR,AS,Va,delta,EN,G,K,calculate G,calculate K,KG,KK,Vaa,XX,
0,9,0,0,0,0,0,0,0,0,49,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.5,0.002970573,12.33763125,0.077113196,-0.2781,42.7,128.9,36.14039152,117.6139561,0.722396284,-45.11102848,12.12085351,0.019353793,
0,12,0,0,0,0,0,0,0,0,27.25,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,143.8,0.003261147,12.693647,0.080065858,-0.335825,42.4,127.6,35.46281498,115.9879123,0.646760873,-56.77628914,12.45561763,0.018508419,
0,0,0,0,28,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,34,142.55,0.020798926,13.62371027,0.201523124,-0.3407,41.7,103.7,14.22564072,88.34658758,0.619256726,-63.84135831,12.13361678,0.016563657,
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.1,0.003368266,13.31114798,0.080344959,-0.4072,41.3,128.8,34.5349894,114.4717624,0.562985055,-73.76881111,13.06288962,0.017178358,
0,5,0,0,26.125,0,0,0,0,0,7.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,7.8375,0,0,0,0,0,44.4125,139.855625,0.016699189,12.56872988,0.179651919,-0.37485875,40.5,115.8,20.7960636,94.57368458,0.584123643,-62.47029725,11.45851729,0.018798038,
0,0,0,0,22.05,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,13.72,0,0,2,0,0,40.18,144.867,0.017805683,14.0396384,0.184881628,-0.352827,40.2,,14.82425844,88.02809204,0.608363433,-69.07071933,12.7349431,0.015799786,
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,25,150,0.010169176,15.10163589,0.147572957,-0.223,40.2,108.7,11.26487218,88.43405208,0.787857323,-48.54172739,14.13716694,0.014090692,
0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.74,0.009583066,14.96820407,0.143268517,-0.22784,39.8,131.2,11.89648451,89.22665458,0.782010896,-48.95893441,14.06378102,0.014288399,
0,5,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,148.75,0.025981896,15.81433236,0.222046003,-0.36025,39.7,98.3,8.210000214,73.0202633,0.590197448,-83.86028743,13.78667483,0.013106603,
0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.64,0.009642372,14.94444316,0.143743481,-0.23384,39.6,132.3,11.90184777,88.97462574,0.773682083,-50.13220859,14.03562343,0.014324082,
0,0,0,0,22.5,1,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,41,143.5,0.019687259,13.73891771,0.192112178,-0.33975,39.5,130.4,NA,88.17128017,0.621741301,-64.44811711,12.37782427,0.016346115,
0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,27.6,149.64,0.009642372,14.94444316,0.143743481,-0.23344,39.5,107.3,11.94549753,89.48011525,0.774231814,-50.04645387,14.03562343,0.014324082,
0,0,0,0,30,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,20,155,0.030309035,18.07803313,0.233731883,-0.351,39.2,114.5,5.900317615,65.11249284,0.59586996,-99.26860485,15.59853112,0.010623623,
0,10,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,139.5,0.009107922,11.92124456,0.129181515,-0.3625,38.8,110.9,40.69205448,102.2658227,0.607211421,-55.93726244,11.37132919,0.020425613,
0,0,0,0,22.5,0,0,0,0,0,12.5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,41,144.65,0.017464695,13.94641467,0.182825761,-0.35415,38.7,109.8,14.71616923,89.87336953,0.607203428,-68.66093517,12.67780079,0.015965913,
0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0.008453947,10.0329903,0.121212121,0.2388,37.9,169.8,NA,44.09452945,0.791735467,28.67571854,9.63408343,0.026776529,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.8,0.007188131,9.272641101,0.112660603,0.1124,37.9,169.8,NA,44.19642857,0.946212918,12.03613321,8.95027127,0.030303346,
0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,13,154.65,0.011987896,16.7057488,0.158867325,-0.16034,37.4,115.1,7.943409766,79.37965647,0.869549504,-40.425052,15.49310208,0.012025426,
0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,143.25,0.004182742,12.6117195,0.090329943,-0.3679,37.4,126.5,35.47209635,95.9657156,0.606651315,-61.61591691,12.31324444,0.018697535,
