Ag,Al,Au,B,Be,C,Ca,Ce,Co,Cr,Cu,Dy,Er,Fe,Gd,Ge,Hf,Ho,In,La,Li,Lu,Mg,Mn,Mo,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Sc,Si,Sm,Sn,Sr,Ta,Tb,Ti,Tm,V,Y,Yb,Zn,Zr,G,K
0,0,0,2,0,10,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,176
0,0,0,3,0,10,0,0,0,3,0,0,0,64,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,174
0,0,0,2,0,10,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.3,178
0,0,0,5,0,7,0,0,0,3,0,0,0,63,0,0,0,0,0,0,0,0,0,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2,174
0,0,0,23,0,0,0,0,0,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,0,0,6,0,35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,203.8
0,0,0,0,0,9,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,148
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,60,0,0,0,0,0,0,0,0,6,0,6.8,0,0,0,0,0,0,0,0,59.4,189
0,0,0,2.5,0,5,0,0,0,2,0,0,0,68,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,149.7
0,0,0,2.5,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,150.1
0,0,0,2.5,0,5,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,5,0,0,5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.3,150.1
0,0,0,2.5,0,5,0,0,0,0,0,0,0,74.5,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.9,145
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,28,0,56,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,52.9,173.8
0,15,0,0,23.375,0,0,0,0,0,6.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,7.0125,0,0,0,0,0,39.7375,48.4,116.9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,59,0,0,0,0,0,0,3,0,2,0,0,0,11,0,0,0,0,0,19,47.5,159.2
0,10,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,28.5,45.2,140.2
0,10,0,0,24.75,0,0,0,0,0,6.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7.425,0,0,0,0,0,42.075,44.5,113.8
0,12,0,0,24.2,0,0,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,7.26,0,0,0,0,0,41.14,44.1,112.6
0,10,0,0,27.5,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,25,43.7,101.7
0,13,0,0,0,0,0,0,0,0,29.25,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1,130.3
